timestep,real_det_return,real_sto_return
8192,971.8625299137381,-117.81147947939857
16384,931.8525595410027,-111.08618760054841
24576,889.8824264191436,-99.98606277446314
32768,794.2130358121838,-157.92404239284267
40960,771.0913671316109,-195.38255057413136
49152,632.3446360128191,-140.69133041864484
57344,541.4333242573342,-110.0533914062261
65536,451.9102645671709,-128.63044870147667
73728,403.821734705916,-96.36041527784779
81920,317.4754903585404,-116.23177933911593
90112,187.9490113471153,-140.13375541732594
98304,220.58849815576428,-75.52027651866402
106496,189.61583438740686,-177.16948718256313
114688,164.27088617102524,-122.00524664380002
122880,176.65926322686587,-157.80581286202653
131072,287.7582281889943,-138.39723739416294
139264,198.28504658114866,-144.4551765998858
147456,255.06216914564158,-139.44145685684066
155648,271.64671869682184,-159.10484674712504
163840,408.8811814954556,-104.97411917280682
172032,560.1938924033328,-158.69947684635395
180224,5.140446008892151,-71.5176094983625
188416,514.9009852944911,-105.05889459487446
196608,469.8103268822096,-69.87657403753391
204800,234.6306451921468,-170.00627748776193
212992,480.6321347109339,-221.83888097419947
221184,135.36501511263106,-131.74054949722213
229376,-322.93841144353826,-163.00606795595934
237568,-338.0780300242869,-117.65128120315147
245760,-470.15862989253895,-275.95739887955364
253952,-106.16373615546243,-237.28327874340147
262144,-340.5705210623574,-140.0591163656822
270336,-501.1799533845349,-199.56131494575675
278528,-560.3661591864247,-157.6098933733048
286720,-673.1830991197536,-159.80065441889874
294912,-402.7609989916598,-179.84591501757583
303104,-29.407556635822566,-119.67677627126267
311296,64.45100614727178,-167.0202861993452
319488,52.70046924546425,-169.46815398632415
327680,-155.48928425709965,-132.58721427276384
335872,-152.15030722910976,-144.60375181338512
344064,-25.20003804300212,-264.67699404490105
352256,-51.83769525168718,-139.34894472114075
360448,-180.7637303435292,-195.83917131639674
368640,-1956.931417420013,-157.09445654999985
376832,-2000.4443270191955,-259.2892168667596
385024,-1850.167709096409,-156.97547696302652
393216,-17.5796059970441,-223.4611299695449
401408,-31.7684042049464,-183.69661473232935
409600,-1362.2282554797584,-158.80016661568916
417792,-48.34355954568971,-256.34165013271655
425984,-1305.69477939026,-202.15122196128192
