timestep,real_det_return,real_sto_return,alpha
1,996.7058489675298,-44.22893085911899,1.0
5001,-94.26462930891144,-67.3447789161465,0.03415730223059654
10001,-256.3583992496467,-184.0932679770836,0.010609659366309643
15001,-143.0002606192507,-227.78668320114463,0.012655568309128284
20001,-77.16543753902829,-289.69261087226795,0.029931413009762764
25001,-280.1376553730587,-83.14477602635502,0.025308964774012566
30001,-166.9935679409222,-61.14903955635949,0.019342932850122452
35001,3.11201226167117,-76.5593283269124,0.027823392301797867
40001,-144.74210812772452,-132.3516092616512,0.02633102796971798
45001,-148.01234718510182,-93.82579068191754,0.02599850855767727
50001,-78.63936573675606,-152.64248937274436,0.02763519249856472
55001,52.46833697600827,50.738687049081406,0.030060764402151108
60001,-172.96639274378254,69.1437006129628,0.031464893370866776
65001,32.13588875872049,115.14905834227966,0.032637037336826324
70001,118.06472284159001,108.36096721589627,0.03628344088792801
75001,323.68248444300616,111.05892106717731,0.03920494392514229
80001,290.2730769582802,408.8048212715128,0.04527579993009567
85001,404.1533059549412,490.3017053052674,0.047366686165332794
90001,472.4798591560476,603.3122363670773,0.05663594603538513
95001,461.2961908733163,887.0530130716191,0.06224739924073219
100001,776.0525917893335,629.0248825035908,0.07248163223266602
105001,693.500863117916,541.9689431644058,0.059980202466249466
110001,940.2955042825149,940.2528472410088,0.06208166852593422
115001,622.6497796963247,752.8694144952904,0.06215329095721245
120001,831.2499969835075,1056.9701875492444,0.06407836824655533
125001,1423.2082752048495,1291.3453663101668,0.0722743347287178
130001,1601.5581024794367,1575.195545050162,0.06993057578802109
135001,1738.8466455242676,1630.0164661497363,0.07218404859304428
140001,1248.5444531779874,1225.5389613726857,0.0743047222495079
145001,1404.5622073460067,1383.3618717676948,0.07730350643396378
150001,1260.3188061352716,1597.7279963240157,0.07733232527971268
155001,1342.618756875786,1000.6233167456297,0.0867515355348587
160001,1750.059302594229,1532.1562594052211,0.0815894827246666
165001,1298.3537282534828,1504.8093059605146,0.08660084754228592
170001,1804.7228193792769,2027.0845434071682,0.09289880096912384
175001,1903.8278050236283,1582.0976070793934,0.0892602726817131
180001,1997.3258573853539,1786.347681247953,0.08866626024246216
185001,2264.0738880749664,2053.382395143056,0.09913507848978043
190001,2109.612182401842,2131.600842159483,0.09192198514938354
195001,1493.2583676019483,1506.4822813113487,0.09172729402780533
200001,2347.7204695179,1992.1433605297505,0.09286957234144211
205001,1801.7880143376035,1805.9038785576795,0.10076047480106354
210001,2149.1478317056117,1917.9173904608456,0.09117437899112701
215001,2243.6641635604933,2391.7480814936307,0.10116841644048691
220001,1805.3474696029057,2342.52613964053,0.10517857223749161
225001,2232.9520612105184,2341.4377878204286,0.10087830573320389
230001,2293.207422768473,2286.983126297849,0.09739495068788528
235001,1651.1501022772845,2091.3268294960444,0.09720271080732346
240001,2230.21548878254,1532.7273141529986,0.09494677931070328
245001,2501.0834924239466,1926.0809954088804,0.10348837077617645
250001,2606.3839034463613,2611.569379996665,0.10049986839294434
255001,2273.0658285763225,2527.627487147279,0.09526136517524719
260001,2856.332416682216,2532.64167612451,0.09940162301063538
265001,2017.2907621105976,2224.3465518009375,0.0962890014052391
270001,2710.834434154787,2420.185231862531,0.10130222886800766
275001,2479.0302319832267,2583.498099659553,0.10711639374494553
280001,2766.395552036538,2798.691560976201,0.0994415432214737
285001,2298.924478172128,2054.2263500045515,0.10583001375198364
290001,2882.2463424282346,2840.6038030821264,0.10515783727169037
295001,2589.869287452398,3025.1070707789977,0.10356049239635468
300001,3092.737340527258,2869.4178380831363,0.10128197073936462
305001,3030.298480440543,2841.35690601547,0.10029131174087524
310001,2682.5669023591645,2362.678551133412,0.10740379989147186
315001,2968.1629201516166,2600.8628522677045,0.10310108214616776
320001,2973.240140737455,2393.784031312891,0.10275065898895264
325001,2953.157470368863,2931.903845068734,0.10960838198661804
330001,3097.523588028199,2862.5466190016004,0.09931942075490952
335001,2950.0360153337997,3094.1234246806193,0.1026734709739685
340001,3188.7415790802083,2928.4644742983905,0.11120516061782837
345001,2993.9377604646625,3066.300796453813,0.10717279464006424
350001,3308.9383448418644,2787.4359297500696,0.09931080043315887
355001,2759.5234645410046,2474.3643927836124,0.09836743026971817
360001,2925.871927720017,2842.377078438882,0.10634870827198029
365001,3213.0660220605514,3484.5876472850823,0.09751449525356293
