timestep,real_det_return,real_sto_return,alpha
1,18.666152173211977,17.80981033584199,0.2
5001,80.85863007224602,82.22454157812885,0.2
10001,95.34208672098801,95.46202341172562,0.2
15001,69.19735563485526,69.96701370962958,0.2
20001,80.87417527552662,78.59466576380251,0.2
25001,77.04885127874726,76.64660852650381,0.2
30001,74.67997563947256,74.37677406704208,0.2
35001,21.6767566269456,38.775974842409326,0.2
40001,75.93402248391354,76.31857335900965,0.2
45001,77.65285634570962,77.9100974414426,0.2
50001,76.86050287939295,77.50928818079626,0.2
55001,76.0637721272891,78.2662403037952,0.2
60001,77.18546983304462,77.8622019066987,0.2
65001,76.75995215284706,76.90758642673816,0.2
