timestep,real_det_return,real_sto_return
875000,-968.7041048066924,-897.2462396106281
880000,-959.4920180805642,-879.2614076411425
885000,-949.4999306588292,-879.1364693302769
890000,-957.1191616597778,-880.8190733952295
895000,-903.8071030582157,-865.6986957709184
900000,-934.1607309458093,-873.0457307872837
905000,-923.2881520759183,-867.9295334352543
910000,-875.6875087261515,-850.7775659954696
915000,-865.9162608887649,-830.6655143065618
920000,-883.1664149652352,-838.5020512090321
925000,-865.3216735921294,-834.5772626127655
930000,-861.8909761004921,-842.2433452868969
935000,-873.4696629931459,-826.9444242779552
940000,-896.878817144637,-817.7163473903978
945000,-904.4472197597179,-817.5535226320659
950000,-894.9266359361321,-819.1313436822381
955000,-853.9139990279034,-804.5589733695623
960000,-828.2277075577374,-796.482071863337
965000,-873.2650663808679,-799.5865524894109
970000,-849.8299351182452,-797.1960430340163
975000,-873.7990204592616,-798.3808037486846
980000,-854.2798257329611,-801.8969127932562
985000,-849.581636338419,-775.749583547129
990000,-882.4814964285317,-789.3729618774668
995000,-878.8549527049527,-785.0367920586252
1000000,-857.3414914110369,-783.0861294876324
1005000,-869.3698858844862,-796.2363607869931
1010000,-888.8855913686842,-800.6162427033674
1015000,-918.2655737931307,-816.9359432376517
1020000,-901.0567063538954,-815.785185895066
1025000,-870.0276993649666,-801.8195702475476
1030000,-850.865420544862,-810.2329083314248
1035000,-849.8778890469359,-796.3187706466736
1040000,-851.8552188150428,-792.7981443659463
1045000,-857.4014569104723,-777.5280622769841
1050000,-851.4235871442788,-775.0710345004563
1055000,-800.2123450770338,-760.2956708389654
1060000,-787.1072229803729,-749.9900508022426
1065000,-779.1552541265658,-743.7997581194857
1070000,-761.9331973669201,-730.8032955498217
1075000,-756.9267968647175,-739.7705547361791
1080000,-755.5011618823701,-743.0103447138206
1085000,-757.7085370313313,-735.3047303435126
1090000,-742.4980614119701,-725.2103396135014
1095000,-744.532398186137,-727.2421763467462
1100000,-762.1612961528889,-755.664280860148
1105000,-768.653534712974,-744.0009213562778
1110000,-763.4726520625364,-751.7406793656598
1115000,-764.8247350272511,-761.8392483494979
1120000,-733.3382376935368,-736.2975746968528
1125000,-732.9851969231462,-732.765989039337
1130000,-725.4207102087979,-728.5290321456253
1135000,-723.3946676175703,-721.0232501485918
1140000,-712.5222017678293,-717.4342605789313
1145000,-719.8549804810536,-721.5860652717554
1150000,-729.1025913995663,-729.8085415675847
1155000,-729.4288005117007,-734.2759718743843
1160000,-755.8144276806282,-739.1978894032604
