#{"t_start": 1775110725.6761105, "env_id": "AntFH-v0"}
r,l,t
-26.269981,1000,22.12735
-54.219574,1000,50.929718
-1129.86243,1000,70.28836
-126.675921,1000,105.933225
-26.914611,1000,130.416344
-29.400989,1000,160.181296
-22.640698,1000,188.458296
-53.208252,1000,206.978516
-72.586894,1000,239.97117
-46.392486,1000,260.449154
-16.21308,1000,288.300629
-17.696124,1000,323.724258
-93.158679,1000,342.323685
-49.618954,1000,374.215965
-92.858391,1000,395.788517
-287.883469,1000,422.044838
-19.166768,1000,449.513331
-9.210489,1000,467.198003
-260.111168,1000,499.395929
-54.383303,1000,521.449366
-61.325348,1000,551.90522
-82.662388,1000,580.771822
-91.457348,1000,599.747608
-85.816769,1000,631.209466
-101.752373,1000,655.694701
-47.115193,1000,690.061887
-1113.292005,1000,725.238597
-87.445541,1000,744.751635
-31.483537,1000,780.523046
-40.528887,1000,802.636541
-50.005352,1000,834.298792
1.596341,1000,863.002409
-73.841463,1000,884.982899
-25.370094,1000,934.35199
-36.297368,1000,970.855836
-122.777147,1000,1011.376888
-1113.639496,1000,1042.839389
-1027.983202,1000,1060.01697
-27.158139,1000,1087.322421
-102.360065,1000,1103.778009
-164.829944,1000,1130.734329
-1064.343675,1000,1159.977714
-67.542696,1000,1178.163629
-60.551335,1000,1220.018417
-73.813443,1000,1242.912765
-81.46582,1000,1285.696231
-175.152529,1000,1336.963649
-224.044738,1000,1365.921975
-62.255388,1000,1409.934407
-19.44396,1000,1434.813462
-1211.708597,1000,1478.301701
-194.000353,1000,1515.894237
-119.081914,1000,1543.13212
-100.107106,1000,1578.60928
-89.462784,1000,1600.652216
-55.720181,1000,1643.916415
-65.020119,1000,1683.066697
-133.152844,1000,1705.301036
-66.883075,1000,1747.934862
-45.301381,1000,1774.920712
-939.365222,1000,1820.123037
-1396.730102,1000,1869.712149
-425.879156,1000,1898.863675
-1330.498964,1000,1937.897877
-78.531821,1000,1963.838583
-126.885784,1000,2003.782365
-896.13751,1000,2059.135521
-582.418934,1000,2092.12008
-879.728921,1000,2141.141403
-1519.973777,1000,2169.600027
-1488.012636,1000,2228.990455
-1515.052914,1000,2288.26989
-1497.338123,1000,2317.830198
-1480.848852,1000,2370.565231
-1454.303697,1000,2405.806143
-1391.804597,1000,2451.202116
-1487.071222,1000,2499.041148
-1457.169684,1000,2529.505545
-1487.724802,1000,2582.129508
-1570.469987,1000,2618.824664
-1602.002605,1000,2673.293998
-1607.036488,1000,2721.865719
-1643.350356,1000,2752.941973
-1623.560913,1000,2804.331451
-1632.880418,1000,2835.330167
-1580.004595,1000,2881.62426
-1563.171503,1000,2944.676895
-1563.6188,1000,2976.860961
