#{"t_start": 1775110726.5331616, "env_id": "AntFH-v0"}
r,l,t
-149.922055,1000,21.274943
-29.676612,1000,50.076176
-82.566803,1000,69.433744
-65.796004,1000,105.07623
-48.181775,1000,129.561496
-18.690288,1000,159.323098
-55.614496,1000,187.607963
-42.777754,1000,206.125139
-143.728759,1000,239.119147
-163.051773,1000,259.592303
-44.642402,1000,287.446822
-49.164536,1000,322.870253
-27.710909,1000,341.469991
-57.451956,1000,373.361732
-81.84191,1000,394.934482
-65.34632,1000,421.190527
-41.332265,1000,448.66589
-25.699386,1000,466.343434
-116.957456,1000,498.541796
-88.273854,1000,520.596176
-24.018779,1000,551.051385
-157.812799,1000,579.915578
-57.069361,1000,598.89429
-1042.310048,1000,630.356072
-229.362054,1000,654.840982
-1063.590688,1000,689.220561
-1077.442218,1000,724.386377
-18.052273,1000,743.898031
-24.591667,1000,779.669408
-33.678952,1000,801.783134
-82.2473,1000,833.447067
-77.945455,1000,862.148543
-31.180918,1000,884.131044
-16.271931,1000,933.495434
-104.278746,1000,969.99837
-100.218769,1000,1010.520001
-16.083704,1000,1041.984156
-1022.106341,1000,1059.157513
-15.469651,1000,1086.465282
-60.238977,1000,1102.923164
-27.932946,1000,1129.880899
-28.043885,1000,1159.12347
-89.06545,1000,1177.309746
-34.284727,1000,1219.167193
-119.659851,1000,1242.059254
-95.303404,1000,1284.839331
-1133.671632,1000,1336.112359
-126.449688,1000,1365.068058
-23.781807,1000,1409.080899
-108.383737,1000,1433.962697
-9.885909,1000,1477.443427
-15.449728,1000,1515.040256
-307.267602,1000,1542.274961
-106.597478,1000,1577.755541
-361.695284,1000,1599.798066
-457.130603,1000,1643.063029
-22.815243,1000,1682.21263
-459.60437,1000,1704.446748
-1292.526133,1000,1747.080559
-1239.782218,1000,1774.070781
-1406.024176,1000,1819.2724
-207.088457,1000,1868.854753
-1401.178072,1000,1898.012232
-1293.055226,1000,1937.043492
-1292.059079,1000,1962.98542
-1381.691083,1000,2002.925833
-1347.366532,1000,2058.283499
-1616.715842,1000,2091.264411
-828.630847,1000,2140.29116
-1461.913534,1000,2168.746223
-1398.938889,1000,2228.131401
-1523.996679,1000,2287.417476
-192.023421,1000,2316.972538
-1477.081133,1000,2369.703961
-1602.6809,1000,2404.952962
-1555.347171,1000,2450.349834
-1617.949926,1000,2498.182894
-1541.668582,1000,2528.648292
-1482.5522,1000,2581.277072
-1560.415157,1000,2617.963411
-1594.029999,1000,2672.435639
-1612.280816,1000,2721.011606
-1617.401738,1000,2752.089106
-1625.951544,1000,2803.479386
-1623.555553,1000,2834.475628
-1578.847512,1000,2880.771802
-1567.773974,1000,2943.819906
-1565.60639,1000,2976.00843
-1566.527935,1000,3024.54195
-1530.392867,1000,3059.699233
-1509.871916,1000,3121.407044
-1441.792547,1000,3174.633834
-1411.869559,1000,3212.035542
-1385.560825,1000,3263.533884
-1350.469318,1000,3301.133334
-1339.080724,1000,3364.236281
-1310.220863,1000,3419.736001
-1264.418372,1000,3467.711111
-1210.356507,1000,3516.206605
-1194.081824,1000,3540.531618
-1158.834993,1000,3579.543677
-1146.514214,1000,3627.055491
-1105.40598,1000,3662.2195
-1064.65274,1000,3705.527685
-1002.583474,1000,3732.211803
-952.84213,1000,3768.796215
-948.533125,1000,3806.368163
-939.567291,1000,3830.884534
-928.027031,1000,3871.549833
-890.410159,1000,3893.763085
-943.280664,1000,3927.306635
-858.768881,1000,3968.886123
-864.566685,1000,3996.5376
-845.139318,1000,4032.55672
-833.831614,1000,4055.440051
-837.519953,1000,4087.83815
-808.306622,1000,4123.179451
-795.711928,1000,4145.228733
-807.490921,1000,4188.339584
-780.285757,1000,4213.227551
-778.632593,1000,4258.442082
-806.158369,1000,4297.985701
-723.915799,1000,4321.35577
-786.757043,1000,4363.338233
-770.304458,1000,4383.657345
-803.717224,1000,4419.024993
-806.762255,1000,4462.921638
-814.13122,1000,4486.512369
-819.877964,1000,4534.87078
-795.519846,1000,4565.260695
-779.473268,1000,4618.479667
-763.901805,1000,4661.755814
-748.762374,1000,4684.317818
-738.543492,1000,4717.298329
-756.979088,1000,4745.885003
-721.195199,1000,4787.68579
-732.352813,1000,4824.748392
-750.011061,1000,4850.879694
-750.184287,1000,4895.443169
-757.636,1000,4924.187562
-733.437244,1000,4961.755848
-724.618692,1000,5004.042295
-720.230391,1000,5033.538571
-719.428073,1000,5075.804304
-731.266133,1000,5100.301582
-741.616225,1000,5133.892687
-728.240927,1000,5172.368894
-727.133377,1000,5203.914166
-721.332718,1000,5244.543534
-711.809975,1000,5263.964925
-721.755962,1000,5297.919865
-731.259153,1000,5331.98991
-728.320858,1000,5352.394699
-732.490128,1000,5386.778533
-733.705313,1000,5407.441506
-730.861312,1000,5443.13508
-735.392645,1000,5479.283313
-731.866978,1000,5501.223967
-732.883132,1000,5535.367703
-727.578331,1000,5555.385375
-731.514867,1000,5589.897404
-729.43364,1000,5624.033135
-730.257241,1000,5644.373921
-740.041721,1000,5678.011906
-731.441856,1000,5699.45663
-724.746611,1000,5732.916555
-719.225403,1000,5766.791053
-710.400488,1000,5788.211077
-699.574013,1000,5821.98776
-703.662062,1000,5842.408627
-705.820676,1000,5874.624424
-698.009204,1000,5910.228214
-691.859561,1000,5933.087579
-692.036006,1000,5967.147588
-697.915834,1000,5987.416399
-676.699281,1000,6021.429645
-667.981915,1000,6055.811564
-669.134378,1000,6076.824097
-660.018629,1000,6109.794004
-664.216985,1000,6130.300179
-679.406083,1000,6163.075655
-685.941499,1000,6195.990342
-688.922613,1000,6219.957225
-690.454675,1000,6264.779585
-688.777204,1000,6290.335746
-696.732588,1000,6332.056734
-703.663504,1000,6370.283596
-712.019642,1000,6402.736489
-705.936265,1000,6463.996743
-695.950327,1000,6503.32053
-703.825343,1000,6576.74055
-700.232762,1000,6629.163327
-689.440823,1000,6673.379535
-699.303505,1000,6738.15272
-702.592103,1000,6774.495525
-703.797319,1000,6842.235572
-706.773589,1000,6908.58478
-704.78225,1000,7019.899708
-706.35048,1000,7083.22967
-707.303707,1000,7116.484334
-722.817973,1000,7180.441409
-722.551206,1000,7246.063535
-724.664402,1000,7281.99633
-723.525857,1000,7348.304384
-717.692066,1000,7388.045891
-722.925195,1000,7457.317066
-720.403418,1000,7518.794327
-724.841226,1000,7556.520579
-741.819622,1000,7614.095871
-714.862164,1000,7653.375095
-755.231413,1000,7717.007386
-727.617786,1000,7778.77761
-725.876542,1000,7827.402971
-724.442374,1000,7891.378275
-741.626377,1000,7931.155574
-731.496931,1000,7989.103561
-733.869404,1000,8052.514922
-737.929573,1000,8088.369963
-740.731351,1000,8158.619852
-735.056004,1000,8198.803944
-741.726299,1000,8272.344486
-742.870531,1000,8338.788796
-752.430158,1000,8376.22466
-748.423099,1000,8433.997221
-747.444798,1000,8478.674012
-736.17249,1000,8534.711804
-729.571931,1000,8591.815929
-729.330009,1000,8627.433656
-726.576194,1000,8686.305174
-736.972138,1000,8724.864279
-724.70536,1000,8778.042324
-732.003823,1000,8840.161445
-730.064949,1000,8884.455193
-733.15477,1000,8955.116509
-716.801161,1000,8999.509855
-705.272007,1000,9071.6392
-703.498904,1000,9152.563363
-702.302851,1000,9199.671719
-689.236318,1000,9279.112033
-694.587212,1000,9339.20143
-692.207816,1000,9442.704093
-683.655155,1000,9505.474594
-684.891252,1000,9532.463767
-686.488941,1000,9576.927595
-693.146412,1000,9610.039676
-685.733856,1000,9655.817204
-695.669977,1000,9703.747729
-696.875145,1000,9731.859629
-693.448001,1000,9778.107273
-694.126308,1000,9807.319591
-693.70523,1000,9865.716077
-688.947174,1000,9943.444325
-688.461876,1000,9983.024195
-689.925688,1000,10060.74852
-698.707499,1000,10101.716156
-694.386745,1000,10170.08486
-691.258804,1000,10237.547868
-687.776281,1000,10289.41613
-681.337878,1000,10385.829162
-673.746245,1000,10432.576527
-662.484054,1000,10504.884511
-661.46219,1000,10577.032094
-666.219447,1000,10623.280157
-664.727142,1000,10691.103996
-675.68839,1000,10734.7658
-639.168205,1000,10811.020309
