#{"t_start": 1775110726.749298, "env_id": "AntFH-v0"}
r,l,t
-41.990774,1000,21.053952
-66.329987,1000,49.855935
-79.229748,1000,69.214065
-150.580094,1000,104.859941
-86.764974,1000,129.342992
-55.274988,1000,159.102887
-11.84081,1000,187.389655
-49.681428,1000,205.905356
0.629924,1000,238.897811
-105.734699,1000,259.375918
-164.679884,1000,287.227372
-40.155747,1000,322.650994
-25.707643,1000,341.250441
-14.745452,1000,373.142592
-145.540759,1000,394.715204
-78.964087,1000,420.971541
-224.338287,1000,448.439918
-70.084457,1000,466.123464
-1056.467863,1000,498.323225
-115.851494,1000,520.376172
-34.964702,1000,550.831943
-17.171224,1000,579.698757
-100.755141,1000,598.674361
-129.187196,1000,630.136206
-62.726262,1000,654.621508
-42.447893,1000,688.988495
-40.583931,1000,724.164741
-9.821976,1000,743.678358
-60.069439,1000,779.449814
-40.721314,1000,801.562021
-48.205966,1000,833.225608
-1036.422404,1000,861.929643
-31.00791,1000,883.909671
-124.6172,1000,933.278625
-16.937182,1000,969.781945
-47.772353,1000,1010.303583
-23.117498,1000,1041.765036
-67.717203,1000,1058.937068
-50.588391,1000,1086.246341
-3.441953,1000,1102.703486
-96.997531,1000,1129.661042
-28.338778,1000,1158.903883
-21.788244,1000,1177.090367
-54.011339,1000,1218.944521
-1165.006759,1000,1241.840214
-66.896676,1000,1284.622951
-1189.636848,1000,1335.891554
-1188.682716,1000,1364.8492
-132.219428,1000,1408.861114
-99.732487,1000,1433.736046
-26.427182,1000,1477.222852
-27.19869,1000,1514.821073
-93.005346,1000,1542.046913
-176.129929,1000,1577.536
-134.095754,1000,1599.578957
-83.276946,1000,1642.843061
-8.51718,1000,1681.993427
-53.418162,1000,1704.227743
-1258.959355,1000,1746.86203
-1307.825969,1000,1773.850513
-62.329004,1000,1819.049717
-0.820385,1000,1868.637897
-156.201913,1000,1897.790336
-1327.658674,1000,1936.823283
-136.854794,1000,1962.765363
-99.322771,1000,2002.709096
-1451.471315,1000,2058.063422
-448.630166,1000,2091.043109
-168.850911,1000,2140.068037
-561.233277,1000,2168.526268
-1372.318017,1000,2227.911119
-1495.230571,1000,2287.199812
-1527.056225,1000,2316.755399
-1421.869843,1000,2369.476631
-182.720325,1000,2404.731775
-1535.813802,1000,2450.128899
-619.670264,1000,2497.965345
-1520.193619,1000,2528.428035
-1484.921124,1000,2581.056092
-1543.44377,1000,2617.738509
-1559.732193,1000,2672.219456
-1588.490557,1000,2720.792145
-1639.299004,1000,2751.868856
-1607.905444,1000,2803.261204
-1601.754079,1000,2834.255941
-1579.932635,1000,2880.55088
-1575.749603,1000,2943.603678
-1581.206895,1000,2975.787706
-1563.44758,1000,3024.329975
-1559.290968,1000,3059.478936
-1482.486585,1000,3121.185701
-1442.815473,1000,3174.412808
-1419.612459,1000,3211.814753
-1391.505185,1000,3263.313321
-1373.211334,1000,3300.912482
-1363.147982,1000,3364.014266
-1314.068919,1000,3419.516349
-1261.992722,1000,3467.490445
-1242.060346,1000,3515.990408
-1209.951952,1000,3540.315424
-1174.42399,1000,3579.323275
