#{"t_start": 1775110725.945149, "env_id": "AntFH-v0"}
r,l,t
-151.675878,1000,21.858505
-1018.633379,1000,50.665715
-40.708887,1000,70.018365
-26.399617,1000,105.667323
-12.668709,1000,130.147474
-1098.141256,1000,159.911788
-15.563846,1000,188.188884
-48.162951,1000,206.710346
-23.736143,1000,239.702315
-73.696005,1000,260.180219
-49.719205,1000,288.031665
-100.244455,1000,323.455301
-47.034706,1000,342.057951
-34.275124,1000,373.9469
-1044.398145,1000,395.520027
-111.605639,1000,421.776132
-84.335862,1000,449.24455
-36.925769,1000,466.930118
-153.408881,1000,499.127128
-77.736871,1000,521.180386
-11.716804,1000,551.636247
1.148567,1000,580.502974
-16.675794,1000,599.478592
-28.164391,1000,630.941174
-198.814876,1000,655.425734
-13.403264,1000,689.799253
-16.955027,1000,724.968908
-130.425434,1000,744.482633
-17.570815,1000,780.254077
-20.945545,1000,802.366661
-35.219491,1000,834.029797
-36.371891,1000,862.733433
-161.652514,1000,884.713879
-17.466091,1000,934.083262
-118.448729,1000,970.586658
-80.050874,1000,1011.111021
-24.048248,1000,1042.569387
-208.492946,1000,1059.749731
-170.918185,1000,1087.051228
-63.011424,1000,1103.507764
-13.098016,1000,1130.465324
-71.158782,1000,1159.708427
-100.753768,1000,1177.898352
-40.796118,1000,1219.751664
-50.801807,1000,1242.650358
-1113.297365,1000,1285.427819
-23.710668,1000,1336.703383
-94.491987,1000,1365.655989
-1104.462421,1000,1409.669954
-36.115083,1000,1434.54756
-1157.434142,1000,1478.03273
-213.475945,1000,1515.628066
-26.211512,1000,1542.866803
-54.370472,1000,1578.343292
-137.713359,1000,1600.386081
-1167.073531,1000,1643.651939
-1179.832166,1000,1682.801059
-1188.990748,1000,1705.035677
-108.382491,1000,1747.669951
-1295.46754,1000,1774.655177
-69.635644,1000,1819.859143
-532.577096,1000,1869.447181
-42.269691,1000,1898.59478
-1308.844549,1000,1937.631152
-1347.732671,1000,1963.573427
-1300.577425,1000,2003.517225
-181.897991,1000,2058.870272
-1387.509585,1000,2091.851939
-49.376992,1000,2140.879207
-32.615799,1000,2169.333922
-1378.504044,1000,2228.725203
-1588.23828,1000,2288.00593
-1540.065715,1000,2317.563573
-1576.40759,1000,2370.284043
-1514.692808,1000,2405.537845
-1575.946715,1000,2450.938041
-1377.401611,1000,2498.776405
-1425.959813,1000,2529.232398
-1476.626375,1000,2581.864819
-1587.960564,1000,2618.542853
-1581.427537,1000,2673.024105
-1579.243999,1000,2721.599658
-1682.803162,1000,2752.677096
-1621.163551,1000,2804.065153
-1605.724938,1000,2835.063658
-1590.195809,1000,2881.359087
-1570.11154,1000,2944.408498
-1583.437963,1000,2976.596397
-1556.521906,1000,3025.125713
-1573.02529,1000,3060.287473
-1513.467733,1000,3121.990022
-1450.108353,1000,3175.221471
-1419.141037,1000,3212.619081
-1410.49981,1000,3264.121748
-1330.913414,1000,3301.721281
-1334.063122,1000,3364.824387
-1283.409316,1000,3420.328363
-1244.431044,1000,3468.294696
-1241.237329,1000,3516.799681
-1184.172914,1000,3541.123739
-1202.47007,1000,3580.127542
-1127.792129,1000,3627.639224
-1099.015177,1000,3662.80288
-1045.301857,1000,3706.111564
-1004.394352,1000,3732.795093
-963.888455,1000,3769.381357
-954.864207,1000,3806.950851
-908.99358,1000,3831.477004
-925.521189,1000,3872.131976
-892.40135,1000,3894.356607
-876.060354,1000,3927.889905
-872.530745,1000,3969.470316
-870.873387,1000,3997.128887
-857.83564,1000,4033.137688
-825.377175,1000,4056.023878
-818.544055,1000,4088.422015
-801.650302,1000,4123.762667
-869.603179,1000,4145.809988
-808.968165,1000,4188.923773
-796.793793,1000,4213.815715
-774.250581,1000,4259.02549
-776.687541,1000,4298.577785
-823.985388,1000,4321.940431
-834.570932,1000,4363.921326
-792.209979,1000,4384.241208
-806.991782,1000,4419.607884
-785.794901,1000,4463.504692
-815.470327,1000,4487.097398
-801.953468,1000,4535.458564
-789.808144,1000,4565.843656
-782.512506,1000,4619.063161
-768.917668,1000,4662.340069
-745.383155,1000,4684.910443
-761.23067,1000,4717.881602
-742.397944,1000,4746.469163
-732.531205,1000,4788.265989
-727.174151,1000,4825.330872
-750.170606,1000,4851.463534
-748.098184,1000,4896.026295
-761.720115,1000,4924.775258
-729.194412,1000,4962.348863
-724.08127,1000,5004.629577
-711.991356,1000,5034.126083
-717.996732,1000,5076.388098
-742.716017,1000,5100.884923
-741.132445,1000,5134.476703
-736.55466,1000,5172.957235
-722.338682,1000,5204.497501
-724.286457,1000,5245.126628
-716.085132,1000,5264.546466
