#{"t_start": 1775110726.1568255, "env_id": "AntFH-v0"}
r,l,t
-21.353686,1000,21.646402
-36.340576,1000,50.448465
-41.267815,1000,69.806555
-42.975438,1000,105.45238
-1043.580802,1000,129.936471
-60.144991,1000,159.69509
-231.358923,1000,187.977003
-41.877394,1000,206.497573
-149.916481,1000,239.490172
-47.893187,1000,259.968335
-83.388429,1000,287.819803
-101.55314,1000,323.243488
-69.012656,1000,341.842882
-80.761789,1000,373.734988
-53.200287,1000,395.30763
-47.817862,1000,421.564092
-95.470204,1000,449.032308
-137.366291,1000,466.715906
-82.477449,1000,498.915121
-51.173026,1000,520.9686
-74.258588,1000,551.424318
-72.149048,1000,580.291373
-65.814692,1000,599.266834
-32.830514,1000,630.728649
-58.186038,1000,655.213965
-170.877641,1000,689.588132
-13.291582,1000,724.757071
-43.210778,1000,744.270831
-35.57718,1000,780.042283
-22.348495,1000,802.154438
-23.324358,1000,833.818039
-1109.443821,1000,862.522081
-30.815911,1000,884.501974
-4.576398,1000,933.87095
-247.128214,1000,970.374358
-26.731917,1000,1010.896015
-3.369435,1000,1042.357456
-1014.12039,1000,1059.539327
-234.37219,1000,1086.838746
-55.597166,1000,1103.295792
-38.978927,1000,1130.253599
-1092.285758,1000,1159.496789
-193.002848,1000,1177.682815
-74.590592,1000,1219.536943
-128.114239,1000,1242.43108
-12.91858,1000,1285.215382
-1145.769806,1000,1336.484065
-12.337416,1000,1365.441128
-17.155613,1000,1409.453642
-289.188355,1000,1434.325394
-47.734774,1000,1477.815469
-185.04271,1000,1515.413383
-231.062732,1000,1542.634697
-39.150264,1000,1578.12861
-42.919833,1000,1600.17136
-1134.749583,1000,1643.436574
-107.931787,1000,1682.585857
-34.232683,1000,1704.820186
-1229.156504,1000,1747.454455
-121.343704,1000,1774.439795
-1275.818705,1000,1819.643003
-1313.251908,1000,1869.231521
-559.136794,1000,1898.382708
-312.469783,1000,1937.41571
-24.940505,1000,1963.35772
-1359.07622,1000,2003.302007
-231.289527,1000,2058.654803
-449.881414,1000,2091.63218
-1366.7862,1000,2140.661407
-1401.235919,1000,2169.119133
-1488.485689,1000,2228.503561
-82.386048,1000,2287.788481
-1429.818475,1000,2317.347949
-544.009196,1000,2370.075297
-1489.275035,1000,2405.325081
-1541.705555,1000,2450.721309
-1448.295238,1000,2498.558618
-1490.70845,1000,2529.020386
-1460.005439,1000,2581.648483
-1557.98859,1000,2618.339994
-1625.318607,1000,2672.812537
-1602.650127,1000,2721.384619
-1651.929442,1000,2752.461148
-1620.243442,1000,2803.849617
-1619.033205,1000,2834.848121
-1570.78126,1000,2881.14332
-1602.105332,1000,2944.19618
-1566.261261,1000,2976.379904
-1554.124584,1000,3024.913842
-1565.010151,1000,3060.071065
-1499.525847,1000,3121.778174
-1436.128408,1000,3175.005235
-1408.585538,1000,3212.407155
-1382.236145,1000,3263.90568
-1372.985832,1000,3301.505049
-1341.689657,1000,3364.606829
-1306.174255,1000,3420.112405
-1257.732713,1000,3468.084776
-1234.877454,1000,3516.582992
-1181.792834,1000,3540.908234
-1166.19422,1000,3579.915835
-1131.940783,1000,3627.427335
-1093.10762,1000,3662.591039
-1063.795657,1000,3705.900019
-1020.799763,1000,3732.583568
-954.635729,1000,3769.169529
-951.827732,1000,3806.739594
-928.372336,1000,3831.260271
-940.77739,1000,3871.920443
-880.947999,1000,3894.139637
-885.331164,1000,3927.67808
-889.760723,1000,3969.258115
-869.446806,1000,3996.913289
-851.468911,1000,4032.925565
-844.397581,1000,4055.812081
-835.505615,1000,4088.210068
-867.576715,1000,4123.550798
-787.81218,1000,4145.597972
-806.14538,1000,4188.711891
-802.222998,1000,4213.600388
-765.352264,1000,4258.813852
-798.594739,1000,4298.361262
-883.664499,1000,4321.72849
-757.497424,1000,4363.709603
-779.76601,1000,4384.029559
-804.712174,1000,4419.394227
-809.011686,1000,4463.293005
-811.476205,1000,4486.884139
-796.854919,1000,4535.246676
-795.212548,1000,4565.627091
-790.179168,1000,4618.851371
-764.786728,1000,4662.128568
-755.532074,1000,4684.694144
-740.951247,1000,4717.669901
-732.310556,1000,4746.256891
-733.665293,1000,4788.055953
-736.052349,1000,4825.118953
-747.822541,1000,4851.25192
-753.235968,1000,4895.814529
-758.446218,1000,4924.560156
-729.419273,1000,4962.131927
-731.497282,1000,5004.408666
-716.692563,1000,5033.907859
-726.336021,1000,5076.176667
-731.674909,1000,5100.673223
-741.893173,1000,5134.264792
-728.954018,1000,5172.739889
-725.491118,1000,5204.285648
-721.139962,1000,5244.914798
-713.129442,1000,5264.334638
-721.601694,1000,5298.29157
-729.73686,1000,5332.361451
-734.977603,1000,5352.766457
-731.086996,1000,5387.151043
-740.014444,1000,5407.813384
-726.884158,1000,5443.506641
-738.45319,1000,5479.654169
-731.652002,1000,5501.596212
-735.833495,1000,5535.740103
-732.315378,1000,5555.761679
-730.793462,1000,5590.27323
-734.573203,1000,5624.409461
-730.943283,1000,5644.749886
-742.42296,1000,5678.382906
-736.912337,1000,5699.82564
-718.539793,1000,5733.285847
-711.526142,1000,5767.162872
-708.124446,1000,5788.582693
-699.707199,1000,5822.360234
