#{"t_start": 1775110725.8106177, "env_id": "AntFH-v0"}
r,l,t
-53.568363,1000,21.992551
-25.221567,1000,50.794509
-24.108606,1000,70.15272
-47.662204,1000,105.798538
-82.464064,1000,130.281499
-65.728933,1000,160.041345
-1075.188068,1000,188.324348
-41.21661,1000,206.843833
-37.681404,1000,239.836286
-19.786364,1000,260.314485
-6.298685,1000,288.165946
-15.535625,1000,323.589623
-80.949266,1000,342.189161
-78.869104,1000,374.081188
-33.174576,1000,395.653802
-14.29454,1000,421.910138
-74.478612,1000,449.378415
-111.768048,1000,467.062144
-53.381118,1000,499.261239
-11.716285,1000,521.314814
-1024.213465,1000,551.771107
-8.388604,1000,580.637249
-136.352879,1000,599.612988
-115.827922,1000,631.074555
-211.79561,1000,655.560085
-43.666841,1000,689.926858
-131.697584,1000,725.103397
-156.975655,1000,744.616988
-143.81299,1000,780.388436
-1049.766748,1000,802.501994
-15.893963,1000,834.164201
-46.812399,1000,862.867765
-215.164299,1000,884.848064
-10.535035,1000,934.218966
-1096.03374,1000,970.721126
-1019.774369,1000,1011.242686
0.21231,1000,1042.703665
-37.173674,1000,1059.87614
-112.673283,1000,1087.184948
-43.703018,1000,1103.642117
-56.825796,1000,1130.599678
-95.887117,1000,1159.842447
-116.217935,1000,1178.028975
-36.238764,1000,1219.883075
-1061.248768,1000,1242.778616
-21.464093,1000,1285.561563
-187.160287,1000,1336.828776
-49.821917,1000,1365.787341
-164.142351,1000,1409.799803
-53.886384,1000,1434.66868
-7.791733,1000,1478.161458
-1153.626652,1000,1515.760307
-61.836548,1000,1542.976097
-1162.32196,1000,1578.475398
-10.311367,1000,1600.517565
-142.718108,1000,1643.781632
-78.252157,1000,1682.932065
-15.799977,1000,1705.166358
-289.756943,1000,1747.80016
-8.629369,1000,1774.784473
-1267.401898,1000,1819.989223
-1275.790993,1000,1869.577729
-1271.7889,1000,1898.729845
-1353.588324,1000,1937.762536
-132.639741,1000,1963.703895
-298.860055,1000,2003.647703
-1621.034168,1000,2059.001519
-258.954453,1000,2091.978374
-1461.226073,1000,2141.006838
-1230.55898,1000,2169.464892
-1497.698987,1000,2228.849794
-1456.854914,1000,2288.139717
-1445.362638,1000,2317.694174
-1453.201284,1000,2370.415467
-1447.979105,1000,2405.671508
-1539.683811,1000,2451.06754
-1545.761241,1000,2498.904742
-1465.830812,1000,2529.366465
-1499.324953,1000,2581.994822
-1467.590534,1000,2618.682265
-1519.323487,1000,2673.155925
-1595.911268,1000,2721.73098
-1671.759905,1000,2752.807534
-1635.877347,1000,2804.195665
-1587.762781,1000,2835.194555
-1594.606752,1000,2881.489527
-1580.591501,1000,2944.542342
-1574.644842,1000,2976.726155
-1557.152891,1000,3025.260187
-1557.053328,1000,3060.41761
-1492.115576,1000,3122.124297
-1435.198378,1000,3175.351362
-1402.112749,1000,3212.753415
-1409.108861,1000,3264.251929
-1350.093034,1000,3301.851199
-1334.745127,1000,3364.952946
-1296.260928,1000,3420.451089
