#{"t_start": 1775110725.571131, "env_id": "AntFH-v0"}
r,l,t
-37.558976,1000,22.23216
-29.920475,1000,51.034228
-61.154976,1000,70.39229
-36.603366,1000,106.038134
-111.020762,1000,130.521211
-53.170069,1000,160.281095
-96.171651,1000,188.562886
-15.405584,1000,207.083419
-1015.168386,1000,240.077102
-112.876221,1000,260.55411
-11.461838,1000,288.405564
-17.196462,1000,323.829189
-1061.729788,1000,342.429172
-28.007624,1000,374.320875
-19.984178,1000,395.893379
-29.465158,1000,422.149789
-66.306462,1000,449.61822
-9.379386,1000,467.301788
-33.922201,1000,499.50087
-133.703583,1000,521.554391
-11.147838,1000,552.010138
-15.142869,1000,580.876822
-103.220012,1000,599.852535
-40.167672,1000,631.314425
-96.479941,1000,655.799663
-8.484838,1000,690.166777
-13.17051,1000,725.342763
-123.047463,1000,744.856601
-68.392865,1000,780.627995
-14.289771,1000,802.740227
-48.509887,1000,834.403811
-38.345102,1000,863.107354
-44.980324,1000,885.087742
-8.261477,1000,934.456846
-42.689559,1000,970.960171
-82.841774,1000,1011.481849
-57.666818,1000,1042.943272
-286.65799,1000,1060.115373
-37.437958,1000,1087.424617
-82.772473,1000,1103.881585
-1118.250354,1000,1130.839857
-221.508006,1000,1160.082125
-106.941135,1000,1178.268577
-1069.900097,1000,1220.123882
-1137.346007,1000,1243.018969
-25.685997,1000,1285.801171
-92.112385,1000,1337.068798
-36.327105,1000,1366.026917
-75.949323,1000,1410.039347
-32.926949,1000,1434.914213
-156.173544,1000,1478.409055
-28.113863,1000,1515.999165
-57.854718,1000,1543.229187
-35.000292,1000,1578.714215
-1203.933434,1000,1600.757615
-66.565267,1000,1644.021343
-213.685099,1000,1683.171638
-1213.075718,1000,1705.406419
-1305.203168,1000,1748.040276
-394.771123,1000,1775.024969
-156.156185,1000,1820.228092
-1359.754671,1000,1869.817018
-350.186946,1000,1898.968626
-96.322875,1000,1938.001497
-150.387643,1000,1963.943518
-1413.515588,1000,2003.887784
-1395.989576,1000,2059.241013
-1427.08329,1000,2092.221559
-1575.596528,1000,2141.247076
-380.487447,1000,2169.704459
-1470.233515,1000,2229.093438
-1418.130519,1000,2288.374569
-1508.196773,1000,2317.933711
-1429.208446,1000,2370.662125
-1523.802806,1000,2405.915987
-1450.843344,1000,2451.307104
-1479.650076,1000,2499.144664
-1510.90124,1000,2529.606218
-1467.105748,1000,2582.234451
-1576.552015,1000,2618.916616
-1562.715709,1000,2673.402255
-1612.415765,1000,2721.972649
-1627.871084,1000,2753.046909
-1612.991615,1000,2804.435183
-1606.764917,1000,2835.433926
-1579.325799,1000,2881.731956
-1562.71973,1000,2944.7819
-1585.434267,1000,2976.965917
-1548.605896,1000,3025.504077
-1539.400818,1000,3060.65688
-1509.486642,1000,3122.364462
