timestep,real_det_return,real_sto_return,alpha
1,996.7058489675298,-44.22893085911899,1.0
5001,-1098.3502227193499,-1046.7532270960912,0.029227813705801964
10001,-984.3351744231431,-875.5079630574455,0.00892445258796215
15001,-846.4608833958755,-886.502409332202,0.01053581666201353
20001,-193.7562013593532,-691.671613624808,0.010136835277080536
25001,-450.84481685210466,-578.1571862557871,0.010819746181368828
30001,-308.2477831212368,-367.59049517976894,0.010454783216118813
35001,-732.1334477243914,-384.6366555621898,0.010658840648829937
40001,-167.46012305586723,-397.6175164974844,0.018542008474469185
45001,-16.963387665381294,-28.433164224650916,0.022747132927179337
50001,-22.56571316587833,-23.887390298108436,0.027354484423995018
55001,-19.668389758987622,-131.9580404166542,0.02405713126063347
60001,-20.794795815078906,-22.732300159471233,0.024590304121375084
65001,-23.68716885673918,-19.70347589326115,0.020421579480171204
70001,-24.305575639430845,-17.31388010090148,0.02095356397330761
75001,-22.894753398776302,-16.514317690839626,0.024472398683428764
80001,-18.029309904505983,-123.37608539621063,0.023226771503686905
85001,-17.34831802972779,-16.980471760223683,0.022422125563025475
90001,-17.357444164762697,-17.921596332204402,0.022997278720140457
95001,-18.61173041658505,-17.81819806066849,0.023715855553746223
100001,-18.286345702212554,-16.283407012427865,0.02458842657506466
105001,-17.23002748097745,-18.287563376150327,0.025051862001419067
110001,-18.63361512984106,-17.612620394209262,0.02496783249080181
115001,-17.838929540431547,-21.07047665039611,0.024968905374407768
120001,-17.685008203013403,-17.870342272765214,0.023289548233151436
125001,-17.293884033177143,-18.784948829233066,0.026067540049552917
130001,-17.412608906412558,-17.195121985766427,0.025370944291353226
135001,-18.121226420111913,-19.445052703256756,0.026067128404974937
140001,-18.013044967679114,-19.136689626300885,0.02631577104330063
145001,-17.81463582160066,-16.962881388302527,0.025148171931505203
150001,-16.89279000750984,-16.396635596859333,0.02369050867855549
155001,-19.410718921858614,-18.934776441510145,0.02521376870572567
160001,-18.834437416352998,-17.157174618151785,0.023972084745764732
165001,-18.15248931117756,-18.498370711657056,0.0248855110257864
170001,-18.38834616169478,-17.683254798386397,0.022829091176390648
175001,-16.059883334714577,-17.44521508213044,0.02328171394765377
180001,-16.128993402351313,-17.42082694406935,0.023309363052248955
185001,-16.244045177191843,-17.368372467751552,0.024150995537638664
190001,-18.818091473380868,-18.13987559220919,0.024025630205869675
195001,-18.124992655877485,-16.72870402157271,0.023484278470277786
200001,-17.683200711030338,-16.973003024145292,0.024732250720262527
205001,-14.88718911903204,-17.52938891807996,0.02452012710273266
210001,-17.007099864936652,-18.151950404352366,0.022818975150585175
215001,-15.835666710729114,-14.760919141336743,0.02445785142481327
220001,-16.771016039689027,-16.94493847206517,0.024182340130209923
225001,-16.956107697327326,-18.431207408165218,0.02347862906754017
230001,-16.510298855507415,-17.4235814254872,0.02244824357330799
235001,-15.35397307020187,-16.73091370702158,0.0230209119617939
240001,-15.904318775236845,-16.294870178264592,0.022239604964852333
245001,-19.59712651417855,-18.18965105406209,0.022551437839865685
250001,-17.07059365806291,-16.235203691505586,0.023789457976818085
255001,-15.840299903148187,-17.000980828347753,0.023753661662340164
260001,-16.985156504091545,-114.43349370124137,0.02335559017956257
265001,-16.571222091958116,-17.163792282646856,0.024077704176306725
270001,-16.24515267097673,-17.429465753063532,0.021766560152173042
275001,-16.911433464221155,-16.060190396334075,0.022861680015921593
280001,-17.20612139682953,-16.53289495077235,0.02285640500485897
285001,-17.611168690017102,-17.061751252140418,0.022585589438676834
290001,-16.6249925557049,-16.86198940705562,0.023608209565281868
295001,-16.53693121768607,-17.05293942452873,0.02253793552517891
300001,-18.316178646063523,-17.30930817364503,0.023920200765132904
305001,-17.157308302253504,-15.96965716179794,0.023853527382016182
310001,-17.132697139583616,-16.152383757017024,0.024303428828716278
315001,-17.605879408629086,-16.951921322951748,0.02214944176375866
320001,-18.18557895239811,-16.87472408070668,0.022884605452418327
325001,-17.358122785118667,-16.79729367654803,0.021813321858644485
330001,-15.562925490628004,-17.58875690539566,0.02337903343141079
335001,-17.834904503215387,-18.0818503165364,0.02161066047847271
340001,-17.025766234191973,-17.89754273030064,0.021704137325286865
345001,-18.530171528931476,-16.430795607545388,0.021358976140618324
350001,-18.334356914293434,-17.898377521994323,0.02218029275536537
355001,-17.864576769656857,-17.68062379385224,0.021359357982873917
360001,-19.777333036134856,-15.272421969489477,0.021998330950737
365001,-17.34108385201423,-17.648759474828715,0.02087978646159172
370001,-17.58134010725336,-123.44586873818052,0.020686455070972443
375001,-16.276954864634142,-16.42895272173603,0.020470794290304184
380001,-16.721934729911734,-16.363177514411113,0.022600047290325165
385001,-15.891989411728838,-16.82521813060801,0.022099725902080536
390001,-18.243968011150407,-18.34304967034563,0.021304115653038025
395001,-16.87099220329902,-20.224965271007875,0.020951010286808014
400001,-16.70190039745833,-15.83868798608662,0.021529976278543472
405001,-16.927523281146964,-15.226110728184869,0.021913915872573853
410001,-17.30283220212123,-17.38308310780012,0.021796489134430885
415001,-14.235926641634927,-16.805141392352898,0.02046898938715458
420001,-16.143249871432893,-15.54210460911749,0.020270491018891335
425001,-15.993510321842558,-16.901631483624897,0.021204853430390358
430001,-16.142524283596714,-17.268393594782644,0.020593149587512016
435001,-15.174166188633034,-17.54615395898503,0.020281072705984116
440001,-19.338844252603536,-16.846936388618314,0.020956825464963913
445001,-17.40857156453769,-18.147624941332143,0.02040632627904415
450001,-16.22648138471939,-16.027474886462606,0.01958056166768074
455001,-16.17808956822762,-16.912163948645887,0.020964426919817924
460001,-14.962841510558835,-17.606992367390035,0.02095940336585045
465001,-16.602339104297776,-16.83782709937542,0.020442457869648933
470001,-18.038293939830137,-17.84817793497103,0.019632307812571526
475001,-18.63978817555391,-17.184369371966177,0.020638665184378624
480001,-15.04347896377367,-17.037150196452853,0.020332954823970795
485001,-17.41897445661584,-17.27110769141424,0.021134117618203163
490001,-17.913138285029905,-17.285728448900308,0.020170899108052254
495001,-16.859759443083362,-15.6222786508556,0.020826589316129684
500001,-17.466502258975737,-16.772526009381075,0.019322136417031288
505001,-15.738364716765968,-16.85392168983278,0.019271748140454292
510001,-17.391983114057595,-17.024950141996392,0.01962163858115673
515001,-16.477113377148534,-17.219498036110146,0.020429015159606934
520001,-17.416027264310177,-16.582077397013958,0.01980375312268734
525001,-17.87935161539213,-16.419761571896878,0.021873492747545242
530001,-17.177605049431104,-15.776242683690182,0.019286273047327995
535001,-17.001614611856823,-16.39963945884817,0.01866624690592289
540001,-17.053588979863164,-17.322622494992952,0.020920872688293457
545001,-15.84669677833784,-17.4194802703743,0.01872425526380539
