#{"t_start": 1775108223.3252163, "env_id": "AntFH-v0"}
r,l,t
-24.181834,1000,18.402961
-31.553391,1000,42.41661
-64.770772,1000,56.551684
-93.230567,1000,79.248825
-18.555552,1000,93.899358
-19.894667,1000,119.146284
-7.996636,1000,144.517489
-1114.215719,1000,160.20935
-68.460359,1000,185.539851
-14.513381,1000,200.849405
-76.105632,1000,222.757825
-27.605813,1000,247.100633
-132.875057,1000,262.536999
-19.817638,1000,289.648374
-27.966838,1000,306.513443
-50.277644,1000,337.020756
-125.584343,1000,364.592276
-8.546742,1000,380.020153
-16.042334,1000,401.719469
-54.434876,1000,413.413796
-1006.207585,1000,434.449561
-89.19425,1000,451.117317
-70.043854,1000,461.729313
-47.661556,1000,480.961817
-18.852896,1000,494.067213
-37.576628,1000,517.009311
-33.418754,1000,541.22692
-62.514967,1000,554.503322
-113.894946,1000,573.52447
-37.04204,1000,587.130365
-15.691466,1000,609.794788
-92.420388,1000,630.430038
-14.716582,1000,646.641
-8.099127,1000,670.693527
-47.054799,1000,683.322792
-49.727469,1000,704.955831
-49.383608,1000,726.20385
-3.690165,1000,742.238992
-28.398958,1000,762.687214
-933.631086,1000,778.496199
-18.960348,1000,796.347298
-52.020433,1000,815.364414
-989.653642,1000,826.676007
-6.526326,1000,845.171051
-58.211291,1000,857.576774
-21.885916,1000,875.158797
-113.291369,1000,892.788571
-13.629429,1000,904.880992
9.693169,1000,923.590542
-10.108753,1000,937.202991
-31.999798,1000,957.481597
-100.648749,1000,975.561905
-35.478621,1000,988.7954
-61.292822,1000,1006.189124
-142.700374,1000,1018.985011
-37.303433,1000,1036.987037
-68.705037,1000,1057.236061
-40.321303,1000,1074.532849
-117.324441,1000,1092.985185
-17.48031,1000,1106.244082
-61.077204,1000,1124.987438
-61.206458,1000,1146.644359
-65.083479,1000,1158.877058
-40.879343,1000,1178.048307
-19.884237,1000,1189.859937
-25.613388,1000,1208.092593
-90.956783,1000,1226.567085
-63.374421,1000,1238.484038
-18.621432,1000,1259.944757
-10.875408,1000,1272.729666
-22.16013,1000,1292.143574
-3.800817,1000,1309.117559
-12.998698,1000,1323.042525
-42.824372,1000,1344.014623
-118.383599,1000,1357.127143
-11.857302,1000,1379.727308
-12.651819,1000,1401.844146
-30.239221,1000,1416.505334
-32.160557,1000,1438.917414
-22.108702,1000,1454.258881
-27.117013,1000,1475.998294
-8.509943,1000,1497.203042
-9.23086,1000,1511.87785
-16.489554,1000,1534.320311
-10.861374,1000,1547.615437
-23.427976,1000,1568.223293
-4.622856,1000,1588.37046
-41.836127,1000,1602.455009
-71.368046,1000,1624.364681
-23.699057,1000,1637.354053
-42.08657,1000,1659.715101
-1107.562238,1000,1682.331976
-39.713231,1000,1700.362244
-13.58693,1000,1727.415674
-86.000567,1000,1742.21513
-13.064383,1000,1763.09545
-20.898193,1000,1785.371442
-10.278451,1000,1799.961035
-70.073154,1000,1822.523624
-46.266791,1000,1837.161997
-40.858864,1000,1861.085648
-407.350076,1000,1882.249063
-282.05991,1000,1899.033887
-68.70683,1000,1923.591991
-300.509503,1000,1938.228399
-45.168587,1000,1965.310131
-97.895328,1000,1991.134973
-248.518476,1000,2006.925564
-247.838846,1000,2034.303269
-6.426651,1000,2058.275134
-67.702954,1000,2082.575627
-10.981226,1000,2109.347363
-137.656521,1000,2121.410586
-58.555865,1000,2139.697808
-125.906149,1000,2150.955503
-5.719369,1000,2172.09496
-18.369633,1000,2197.83277
-98.338807,1000,2212.800146
-23.107085,1000,2231.24569
-9.272985,1000,2242.690427
-55.984922,1000,2262.14584
-37.065582,1000,2280.16617
-1187.087588,1000,2292.433366
-60.838766,1000,2312.437905
-8.201463,1000,2323.152397
10.766357,1000,2339.935668
-24.00273,1000,2357.679492
-7.334128,1000,2368.290041
-10.127856,1000,2386.276457
-66.569586,1000,2397.509144
-170.452998,1000,2414.316432
-8.489892,1000,2432.478686
-80.026262,1000,2443.164215
-26.206073,1000,2460.547395
-34.568345,1000,2470.144974
-27.790327,1000,2487.222934
-9.715204,1000,2519.873697
-12.428077,1000,2536.990573
-58.467847,1000,2558.237355
-264.834363,1000,2579.647941
-16.105819,1000,2612.303962
-58.908411,1000,2646.828452
-12.844831,1000,2663.898947
-15.805181,1000,2687.285237
-12.965238,1000,2705.611263
-223.95508,1000,2737.906677
-6.054167,1000,2768.981559
-15.538812,1000,2786.753457
-93.215787,1000,2824.135583
-21.897236,1000,2843.217504
-1212.75599,1000,2876.33941
-4.064324,1000,2909.876024
-5.086722,1000,2926.243965
-36.475375,1000,2954.822129
-8.90843,1000,2974.073996
-15.907022,1000,3001.969941
-27.241005,1000,3036.828824
-75.672226,1000,3055.504898
-20.141144,1000,3084.881018
1.869347,1000,3099.856187
-318.079969,1000,3128.205108
-2.447444,1000,3164.450834
-48.371193,1000,3184.66627
-116.6429,1000,3220.461522
-362.929788,1000,3239.266613
-5.903236,1000,3272.075215
-144.753155,1000,3299.865924
-108.601729,1000,3317.244075
-55.786138,1000,3341.357235
-8.364646,1000,3356.080812
-6.611514,1000,3382.196578
-267.991568,1000,3414.901143
-20.972813,1000,3449.035769
-15.36873,1000,3487.41078
-382.901785,1000,3511.146922
-31.397607,1000,3539.557461
-122.678773,1000,3561.277277
-8.616169,1000,3576.913937
-5.995173,1000,3600.946955
-5.31544,1000,3615.911714
-11.468009,1000,3642.397945
-3.547566,1000,3670.823079
-11.351621,1000,3697.711854
-1.7547,1000,3731.678707
-17.787259,1000,3756.638184
-6.096465,1000,3792.233692
-289.251131,1000,3836.280535
-1201.284151,1000,3866.6755
-78.098648,1000,3909.596932
-128.684078,1000,3935.03707
-9.946257,1000,3976.069849
-717.86648,1000,4020.16295
-4.905635,1000,4051.320553
-12.410736,1000,4089.918717
-94.7015,1000,4113.900509
-932.71694,1000,4156.455087
-279.898254,1000,4193.368666
-112.342089,1000,4217.167064
-12.568941,1000,4257.225255
-517.941132,1000,4284.144979
-179.1997,1000,4331.185484
-649.907932,1000,4380.941392
-5.243023,1000,4402.903954
-383.887752,1000,4440.473444
-662.137072,1000,4463.053159
-1154.564604,1000,4499.194049
-11.379875,1000,4544.266609
-507.808579,1000,4573.261975
-215.543181,1000,4613.964274
-817.935242,1000,4639.458805
-5.019331,1000,4682.070748
-657.621225,1000,4732.05911
-676.934815,1000,4763.620304
-550.380721,1000,4808.887246
-774.253738,1000,4837.886877
-92.766139,1000,4875.298859
-364.453504,1000,4918.171053
-484.833244,1000,4941.91496
1.524264,1000,4981.466972
-1330.090435,1000,5005.450924
-25.01004,1000,5045.611767
-1185.759203,1000,5094.810994
-1252.278323,1000,5127.983963
-1312.544569,1000,5168.624375
-1196.584723,1000,5195.588702
-1049.243337,1000,5237.725066
-1427.254707,1000,5277.559743
-765.982625,1000,5303.990412
-7.508537,1000,5345.468256
-1417.184002,1000,5369.784166
-1440.748131,1000,5413.588223
-895.467195,1000,5462.139498
-1396.303198,1000,5489.583235
-1246.475739,1000,5528.047822
-1398.236769,1000,5559.471999
-52.466314,1000,5609.162788
-1467.420314,1000,5659.89661
-17.485917,1000,5689.166895
-1389.404368,1000,5733.455489
-1403.70444,1000,5759.785455
-12.079428,1000,5813.631492
-1448.026773,1000,5872.287613
-9.08595,1000,5901.239456
-1296.229767,1000,5962.759018
