#{"t_start": 1775108224.1445308, "env_id": "AntFH-v0"}
r,l,t
-109.02685,1000,17.587659
-87.321101,1000,41.600048
-16.226148,1000,55.735625
-326.256399,1000,78.429021
-12.338922,1000,93.083898
-127.300367,1000,118.331453
-37.285972,1000,143.701654
-106.714025,1000,159.389375
-56.512658,1000,184.723617
-23.032178,1000,200.03331
-24.247699,1000,221.936476
-14.707483,1000,246.281359
-17.464508,1000,261.720845
-60.363803,1000,288.835729
-96.909837,1000,305.699685
-45.072627,1000,336.203871
-20.877812,1000,363.776592
-241.061772,1000,379.206801
-23.123873,1000,400.904119
-116.929733,1000,412.597783
-65.042287,1000,433.632536
-9.98595,1000,450.301102
-18.859354,1000,460.912951
-59.856508,1000,480.139976
-96.880597,1000,493.251045
5.873697,1000,516.191957
-10.005938,1000,540.40514
-14.006223,1000,553.687466
-0.997883,1000,572.708204
-80.250286,1000,586.313769
-30.015577,1000,608.978344
-49.355492,1000,629.614038
-60.920359,1000,645.826631
-28.967551,1000,669.877146
-22.221046,1000,682.506321
-4.904244,1000,704.139626
-7.7752,1000,725.387651
-38.632536,1000,741.422948
-4.555595,1000,761.866616
-18.116132,1000,777.679278
-23.445182,1000,795.531526
-88.451414,1000,814.548268
-13.62823,1000,825.853362
-26.156082,1000,844.354798
-22.00861,1000,856.762163
-95.375118,1000,874.342579
-51.034464,1000,891.972533
-89.945207,1000,904.059906
-3.856413,1000,922.774376
-34.700659,1000,936.386577
-18.847362,1000,956.667797
-25.076921,1000,974.746125
-95.168523,1000,987.975665
-17.05509,1000,1005.373099
-7.574782,1000,1018.171059
-58.692451,1000,1036.170751
-74.043002,1000,1056.419642
-10.271016,1000,1073.718225
-34.814652,1000,1092.169119
-7.553664,1000,1105.429538
-62.332053,1000,1124.171206
-15.31391,1000,1145.827984
-5.276716,1000,1158.061312
-993.924066,1000,1177.23325
-55.388146,1000,1189.043592
-44.374773,1000,1207.276345
-108.179028,1000,1225.751198
-103.556425,1000,1237.661847
-83.900444,1000,1259.128464
-5.390223,1000,1271.907028
-13.466887,1000,1291.327729
-19.271594,1000,1308.301291
-22.93165,1000,1322.227575
-55.643154,1000,1343.198214
-15.478343,1000,1356.310328
-15.605585,1000,1378.907613
-1002.699389,1000,1401.028621
-965.378607,1000,1415.68983
-84.316691,1000,1438.101247
-87.297455,1000,1453.442667
-9.843329,1000,1475.182076
-16.375439,1000,1496.38684
-12.635225,1000,1511.061689
-39.028471,1000,1533.497963
-12.656177,1000,1546.800632
-11.199304,1000,1567.407263
-26.978033,1000,1587.554457
-17.71234,1000,1601.63854
-83.789584,1000,1623.551095
-64.30987,1000,1636.538899
-87.538944,1000,1658.898957
-32.744695,1000,1681.511948
-33.799043,1000,1699.547779
-23.395154,1000,1726.599581
-5.042017,1000,1741.399118
-66.23981,1000,1762.279098
-85.243153,1000,1784.555257
-12.407279,1000,1799.144711
-6.176173,1000,1821.707312
-336.681883,1000,1836.346045
-111.215845,1000,1860.269738
-23.790865,1000,1881.432236
-26.187341,1000,1898.219666
-10.576855,1000,1922.775439
-1042.954508,1000,1937.412808
-64.781391,1000,1964.493833
