#{"t_start": 1775108223.9549632, "env_id": "AntFH-v0"}
r,l,t
-69.904701,1000,17.772429
-1073.450436,1000,41.787405
-22.292511,1000,55.921922
-192.290734,1000,78.615333
-135.839296,1000,93.270019
-13.353336,1000,118.51647
-88.735671,1000,143.889102
-15.715502,1000,159.577207
-40.714885,1000,184.910073
-48.462108,1000,200.219639
-32.990082,1000,222.125297
-1101.465732,1000,246.471317
-42.299998,1000,261.907319
-6.347975,1000,289.01862
-30.855247,1000,305.883677
-11.346404,1000,336.392889
-98.098758,1000,363.96252
-92.43608,1000,379.390877
-34.06647,1000,401.089775
-16.026146,1000,412.784043
-25.626055,1000,433.819275
-54.796863,1000,450.48754
-58.620424,1000,461.099543
-38.637773,1000,480.329056
-18.105945,1000,493.437448
-84.870407,1000,516.379859
-49.099486,1000,540.593938
-46.655218,1000,553.873539
-60.749229,1000,572.897596
-13.336043,1000,586.500384
-17.980044,1000,609.16497
-99.852814,1000,629.800298
-20.605932,1000,646.011169
-17.757562,1000,670.06385
-26.726388,1000,682.692986
-59.619673,1000,704.326027
-99.529616,1000,725.574078
-48.139371,1000,741.60923
-162.049199,1000,762.05426
-25.953495,1000,777.865773
-60.013626,1000,795.717545
-62.311736,1000,814.734653
-48.082586,1000,826.042658
-40.664121,1000,844.541271
-14.018335,1000,856.947513
-77.975053,1000,874.529018
-9.510454,1000,892.158819
-82.82558,1000,904.248677
-18.375092,1000,922.960838
-4.509713,1000,936.573223
-18.495222,1000,956.851767
-67.986649,1000,974.932127
-43.643791,1000,988.16348
-29.382978,1000,1005.562666
-8.725631,1000,1018.35651
-16.974231,1000,1036.357259
-97.245956,1000,1056.606116
-9.788043,1000,1073.90314
-104.821521,1000,1092.355441
-37.013736,1000,1105.614281
-50.081674,1000,1124.358115
-45.591606,1000,1146.014592
-11.514295,1000,1158.247288
-26.708542,1000,1177.418539
-22.695277,1000,1189.230095
3.917485,1000,1207.463423
-29.835387,1000,1225.937319
-147.567618,1000,1237.850946
-13.552513,1000,1259.318864
-12.853132,1000,1272.096306
-104.600911,1000,1291.513854
-14.953985,1000,1308.49119
-15.459005,1000,1322.412831
-76.588449,1000,1343.384829
-41.225522,1000,1356.497018
-14.926305,1000,1379.094517
-187.254064,1000,1401.214338
-79.272953,1000,1415.875669
-0.024514,1000,1438.287794
-86.242278,1000,1453.629078
-85.496155,1000,1475.368531
-18.154418,1000,1496.573275
-59.779792,1000,1511.248072
-119.311504,1000,1533.687336
-22.807129,1000,1546.98566
-57.902742,1000,1567.593507
