#{"t_start": 1775108224.2601943, "env_id": "AntFH-v0"}
r,l,t
-98.548812,1000,17.466892
-123.896673,1000,41.483631
-25.613312,1000,55.616697
-45.446725,1000,78.309848
-22.404751,1000,92.963968
-34.256091,1000,118.211087
-261.524758,1000,143.581994
-113.335686,1000,159.270542
-5.58438,1000,184.604604
-44.398396,1000,199.914312
-18.184616,1000,221.820024
-18.713712,1000,246.165474
-3.143933,1000,261.601768
-138.454826,1000,288.713164
-2.592397,1000,305.578534
-111.072267,1000,336.084136
-75.926113,1000,363.657079
-65.974997,1000,379.085409
-7.176743,1000,400.784294
-13.169476,1000,412.478819
-8.446199,1000,433.513897
-66.991509,1000,450.182356
-78.467199,1000,460.794293
-30.44471,1000,480.023557
-12.084109,1000,493.132246
-54.387517,1000,516.073254
-28.296361,1000,540.28845
-756.446689,1000,553.568133
-16.037079,1000,572.589208
-20.44958,1000,586.195093
-27.174838,1000,608.859525
-28.458534,1000,629.494991
-18.656208,1000,645.705926
-35.209173,1000,669.758529
-47.139822,1000,682.387699
-6.105882,1000,704.020552
-27.744809,1000,725.268659
-147.190368,1000,741.30393
-36.702631,1000,761.748734
-30.219736,1000,777.560432
-17.598012,1000,795.412196
-38.564536,1000,814.429199
-18.442364,1000,825.737215
-11.032606,1000,844.235893
-18.638479,1000,856.641441
-10.940922,1000,874.223599
-56.676043,1000,891.8535
-122.829488,1000,903.94315
-1.465569,1000,922.655276
-51.400078,1000,936.267897
-15.119793,1000,956.544829
-6.909909,1000,974.626803
-1005.074796,1000,987.857374
-14.32627,1000,1005.253956
-26.502224,1000,1018.049908
-11.026259,1000,1036.051841
-72.690483,1000,1056.300659
-38.97539,1000,1073.597909
-59.538371,1000,1092.050167
3.880045,1000,1105.308719
-58.732296,1000,1124.052373
-24.944985,1000,1145.709377
-52.582181,1000,1157.941911
-28.636651,1000,1177.11303
-6.544948,1000,1188.923992
-22.733045,1000,1207.157404
-38.291044,1000,1225.631921
-191.175781,1000,1237.54537
-14.591115,1000,1259.009416
-14.529303,1000,1271.790572
-19.419728,1000,1291.208241
-32.883387,1000,1308.182319
-1091.361597,1000,1322.107937
-14.0753,1000,1343.079378
-78.993643,1000,1356.191625
-145.902479,1000,1378.789197
-8.125348,1000,1400.908863
-67.805933,1000,1415.570285
-16.984679,1000,1437.982231
-93.924029,1000,1453.323747
-33.44341,1000,1475.063305
-988.863923,1000,1496.268505
-16.779108,1000,1510.942745
-17.104723,1000,1533.381558
-39.146282,1000,1546.68008
-105.651984,1000,1567.288201
-83.353888,1000,1587.435446
-24.156615,1000,1601.51983
-22.165575,1000,1623.42918
-33.047134,1000,1636.418931
-25.959945,1000,1658.780037
-60.5342,1000,1681.393078
-24.077642,1000,1699.426783
-53.314956,1000,1726.48062
-24.785581,1000,1741.280189
-122.17725,1000,1762.160248
-30.115962,1000,1784.436235
-59.058299,1000,1799.026049
-83.644439,1000,1821.588337
-537.909958,1000,1836.226787
-96.537647,1000,1860.15066
-12.019178,1000,1881.31375
-4.68261,1000,1898.098764
-29.08871,1000,1922.656651
-8.679549,1000,1937.293123
-182.470371,1000,1964.374898
-39.367003,1000,1990.199768
-46.455023,1000,2005.990276
-1055.822915,1000,2033.364641
-196.885012,1000,2057.339888
-107.209864,1000,2081.636367
-3.634239,1000,2108.412215
0.120846,1000,2120.475511
-8.451278,1000,2138.762735
-34.531137,1000,2150.020264
-13.971124,1000,2171.159955
-1036.695893,1000,2196.897457
