#{"t_start": 1775108224.4655402, "env_id": "AntFH-v0"}
r,l,t
-31.030912,1000,17.26175
-26.201113,1000,41.277071
-46.803876,1000,55.411299
-62.243012,1000,78.105783
-23.550406,1000,92.758871
-12.84223,1000,118.005848
-54.331249,1000,143.376767
-38.978582,1000,159.065377
-13.224702,1000,184.399392
-33.702309,1000,199.709017
-27.901375,1000,221.614726
-12.149853,1000,245.960222
-91.179243,1000,261.396604
-52.350075,1000,288.508074
-97.200404,1000,305.373081
-155.654901,1000,335.878906
-82.947253,1000,363.451838
-15.002687,1000,378.880144
-80.871931,1000,400.579074
-35.412296,1000,412.273411
-12.601797,1000,433.308695
-53.717749,1000,449.976943
-25.152551,1000,460.588923
-27.822505,1000,479.818418
-45.488214,1000,492.926909
-119.815549,1000,515.868116
-27.356709,1000,540.083302
-50.572126,1000,553.362927
-105.695019,1000,572.38402
-5.054688,1000,585.992441
-21.885559,1000,608.654522
-81.659804,1000,629.289649
-207.103498,1000,645.500502
-101.163392,1000,669.553152
-44.047632,1000,682.182494
-87.182612,1000,703.815407
-36.031866,1000,725.063455
-98.974236,1000,741.098657
-11.714569,1000,761.5436
-143.519509,1000,777.355123
-55.170921,1000,795.206989
-6.348662,1000,814.224001
-61.687988,1000,825.532117
-71.070571,1000,844.030673
-23.512952,1000,856.436318
-0.143436,1000,874.01842
-109.288894,1000,891.648206
-72.686918,1000,903.738015
-38.780018,1000,922.450233
-45.236639,1000,936.062605
-9.99754,1000,956.341098
-2.824994,1000,974.421526
-46.64249,1000,987.651945
-15.566582,1000,1005.048763
-169.404211,1000,1017.844575
-16.464228,1000,1035.846655
-7.961133,1000,1056.095625
-12.541216,1000,1073.392383
-12.151641,1000,1091.84482
-14.142785,1000,1105.103638
-17.709791,1000,1123.847059
-18.133256,1000,1145.503967
-105.82976,1000,1157.736666
-18.987115,1000,1176.907894
-26.514095,1000,1188.719507
2.646223,1000,1206.952185
-14.073075,1000,1225.426686
-90.439345,1000,1237.34028
-4.436419,1000,1258.807867
-30.890877,1000,1271.586018
-10.529712,1000,1291.003277
-26.664949,1000,1307.977163
-53.988087,1000,1321.902135
-1100.313142,1000,1342.874737
-71.611755,1000,1355.987123
-60.415342,1000,1378.583905
-58.996201,1000,1400.703735
-67.882552,1000,1415.36493
-18.270621,1000,1437.780252
-950.481372,1000,1453.119069
-105.100379,1000,1474.857909
-11.38533,1000,1496.06274
-95.375044,1000,1510.739916
-6.714769,1000,1533.17671
-89.814781,1000,1546.474931
-7.307779,1000,1567.08289
-17.710447,1000,1587.230129
-26.537794,1000,1601.314594
-102.293472,1000,1623.22411
-135.835868,1000,1636.213642
-24.164751,1000,1658.57475
-1.837079,1000,1681.190664
-1112.095353,1000,1699.222846
-5.114703,1000,1726.275279
-175.622247,1000,1741.074752
-1083.840875,1000,1761.955755
-84.952266,1000,1784.231069
-13.79259,1000,1798.820639
-15.181221,1000,1821.383134
-242.96799,1000,1836.021617
-8.634503,1000,1859.945285
-18.456,1000,1881.112578
-7.842779,1000,1897.893481
-1045.27901,1000,1922.451968
-460.910417,1000,1937.087929
-61.936732,1000,1964.169769
-83.521951,1000,1989.99454
-32.070423,1000,2005.785243
-5.769331,1000,2033.158238
-45.131836,1000,2057.134721
-68.431122,1000,2081.431487
-12.303581,1000,2108.206985
-43.409364,1000,2120.270218
-141.52186,1000,2138.557481
-30.121333,1000,2149.815042
-50.415742,1000,2170.954634
-86.596168,1000,2196.69185
-44.553906,1000,2211.659682
27.344279,1000,2230.105347
-159.727364,1000,2241.549914
-50.738088,1000,2261.005446
-24.57082,1000,2279.025794
-50.005027,1000,2291.292389
-1036.049833,1000,2311.297096
-13.317601,1000,2322.012012
1.60012,1000,2338.795306
-1017.631088,1000,2356.539484
-259.00001,1000,2367.149588
-3.091077,1000,2385.135857
