#{"t_start": 1775108223.812478, "env_id": "AntFH-v0"}
r,l,t
-93.28234,1000,17.914874
-123.683878,1000,41.929161
-13.058794,1000,56.064419
-72.269211,1000,78.757641
-12.080275,1000,93.411727
-17.443898,1000,118.658858
-43.248125,1000,144.029773
-88.124645,1000,159.718363
-14.444757,1000,185.052434
-37.312869,1000,200.362046
-19.927363,1000,222.267787
-19.949733,1000,246.613224
-6.400665,1000,262.049548
-4.836515,1000,289.160889
-15.701861,1000,306.026179
-39.718132,1000,336.53185
-40.722628,1000,364.104961
-27.168719,1000,379.532628
-63.882171,1000,401.232053
-3.775839,1000,412.926535
-86.057202,1000,433.961654
-34.669731,1000,450.63024
-35.016835,1000,461.242217
-32.882948,1000,480.471483
-881.852228,1000,493.580507
-1012.186086,1000,516.521608
-9.52773,1000,540.736279
-37.717422,1000,554.015974
-8.604878,1000,573.037242
-24.111161,1000,586.642754
-39.860964,1000,609.307338
-4.494299,1000,629.94261
-7.372397,1000,646.153473
-17.087209,1000,670.206136
-62.629822,1000,682.835415
-9.736336,1000,704.468385
-10.043964,1000,725.71643
-89.664227,1000,741.751688
-32.171072,1000,762.196572
1.105254,1000,778.008149
-40.566907,1000,795.859974
-62.293499,1000,814.876979
-49.970982,1000,826.185045
-28.390511,1000,844.683654
-7.744961,1000,857.089232
-40.124502,1000,874.671377
-14.538052,1000,892.301165
-56.441193,1000,904.390984
-81.549871,1000,923.103108
-60.069648,1000,936.715678
-105.018601,1000,956.994437
22.186476,1000,975.074584
-19.047066,1000,988.304647
-38.382212,1000,1005.701685
-1058.159316,1000,1018.498941
-108.207724,1000,1036.499611
-8.1803,1000,1056.748446
-42.350436,1000,1074.045284
-21.880793,1000,1092.497883
-43.549711,1000,1105.756642
-80.380937,1000,1124.50009
-30.495229,1000,1146.157093
-1.499389,1000,1158.3897
-1.258507,1000,1177.560857
-199.045662,1000,1189.371866
-120.063683,1000,1207.605287
-90.452412,1000,1226.079703
-3.05798,1000,1237.993248
-1096.467249,1000,1259.458051
-13.71119,1000,1272.238289
-44.00982,1000,1291.65612
-102.827139,1000,1308.630111
-5.885434,1000,1322.558178
-43.827493,1000,1343.527232
-20.309688,1000,1356.639377
-87.785709,1000,1379.236912
-20.864244,1000,1401.356824
-6.194927,1000,1416.018044
-64.106148,1000,1438.429948
-115.57021,1000,1453.771489
-12.927312,1000,1475.511051
-11.186644,1000,1496.715628
-18.688043,1000,1511.390367
-12.615129,1000,1533.829407
-5.204329,1000,1547.127942
-3.842382,1000,1567.735964
-15.157052,1000,1587.88305
-104.002082,1000,1601.967531
-23.558114,1000,1623.877173
-45.341717,1000,1636.866678
-52.929519,1000,1659.227689
-75.578326,1000,1681.840887
-29.491876,1000,1699.874639
-9.500717,1000,1726.928336
-148.25222,1000,1741.727777
-22.629726,1000,1762.608033
-81.010705,1000,1784.884009
-66.450201,1000,1799.473622
-312.934635,1000,1822.0361
-11.863988,1000,1836.674658
-244.609155,1000,1860.598374
-76.442836,1000,1881.76158
-70.494753,1000,1898.546377
-45.988514,1000,1923.104465
-3.82534,1000,1937.741101
-121.942323,1000,1964.82268
-13.041585,1000,1990.647576
-47.900535,1000,2006.438095
-0.134735,1000,2033.811136
-46.317408,1000,2057.787724
-1196.714031,1000,2082.084917
-1.416674,1000,2108.86005
-31.162684,1000,2120.923298
-1.837441,1000,2139.210539
-37.938042,1000,2150.468084
-108.797109,1000,2171.607628
-20.711033,1000,2197.344814
-59.783677,1000,2212.312735
-33.54506,1000,2230.75833
-273.853416,1000,2242.202916
-3.428929,1000,2261.658433
-11.520635,1000,2279.678833
-274.272657,1000,2291.945463
-1.009979,1000,2311.949612
-127.737945,1000,2322.665112
-73.993215,1000,2339.448281
-188.10403,1000,2357.192105
-18.392989,1000,2367.802657
-35.154615,1000,2385.788865
-86.678338,1000,2397.021494
5.283926,1000,2413.829023
-6.118512,1000,2431.991285
-17.06922,1000,2442.676833
-71.050176,1000,2460.060025
-12.402017,1000,2469.657611
-10.661231,1000,2486.735532
-5.24831,1000,2519.386251
-0.702999,1000,2536.503123
-17.365849,1000,2557.749941
-4.919821,1000,2579.160503
-17.085722,1000,2611.820552
-312.243617,1000,2646.337544
-17.995899,1000,2663.40875
-9.473015,1000,2686.797774
8.493955,1000,2705.123783
-13.53128,1000,2737.41923
-350.612638,1000,2768.490743
-26.87402,1000,2786.265972
-19.221463,1000,2823.648159
-236.460184,1000,2842.727267
-4.289931,1000,2875.84525
-266.269181,1000,2909.385348
-209.521839,1000,2925.756198
-6.785811,1000,2954.334707
-135.194157,1000,2973.586633
-23.651825,1000,3001.482735
-53.479555,1000,3036.336586
-34.859967,1000,3055.017536
-98.307872,1000,3084.395889
-30.450499,1000,3099.359163
-279.164428,1000,3127.714667
-4.533893,1000,3163.960458
-77.155563,1000,3184.178843
-176.495795,1000,3219.971461
-44.270607,1000,3238.779041
-228.611196,1000,3271.587781
