timestep,real_det_return,real_sto_return
8192,833.4597115995921,-160.7821522300094
16384,856.0240111883456,-52.20669047827512
24576,857.0149220585314,-33.82374250016453
32768,667.1311363176134,-239.1698755389309
40960,618.1143564547972,-51.169323852473084
49152,731.9195693963768,-142.02283652118246
57344,523.4763667556956,-252.9542963835529
65536,457.0302385776102,-137.6362697445888
73728,495.85411988528193,-145.38638714498921
81920,3.75784479199599,-266.6377722712445
90112,1.2087570119743634,-253.2321488304442
98304,-1.4783357783656774,-152.95925866270642
106496,104.87079347153103,-224.69373937628558
114688,216.23488390538765,-169.30901469728047
122880,130.82441399238488,-190.41419303121555
131072,26.896591993858102,-168.37977750307874
139264,275.8307805965651,-420.7816405912753
147456,182.69824032585933,-35.89080474229847
155648,-658.9506040686654,-143.66274604264245
163840,-7.937496580359562,-264.6984005410897
172032,140.8306422264631,-131.37173311449567
180224,66.7095579493587,-185.8446852923898
188416,-28.62901765404593,-294.69251354319226
196608,-142.96713970584574,-228.1835891559424
204800,-137.55518073586134,-293.50892415007854
212992,-429.1103038957748,-605.4814409609696
221184,-556.0260725689361,-792.749311647476
229376,-500.7609012421388,-592.5063824059102
237568,-397.4071619300786,-655.527025664602
245760,-652.2241494360476,-733.0467896837026
253952,-607.0815257692175,-696.3256779916824
262144,-540.454533584656,-650.0369918052209
270336,-540.420937855418,-528.2382102437383
278528,-449.12374542703117,-485.2606560810067
286720,-643.5936276078749,-539.0046012744115
294912,-667.4857205710889,-591.057331649957
303104,-651.9125485859506,-633.8271904379625
311296,-626.1748354593592,-636.1625510355503
319488,-573.6059244229172,-614.3630565164199
327680,-718.8876873111066,-570.2697915070594
335872,-630.5996541964143,-605.2417153472643
344064,-591.3384917313987,-576.1507196430539
352256,-210.2921037017621,-570.605731074497
360448,-646.7593385747216,-627.0991743351498
368640,-728.6224827543122,-592.5408622653863
376832,-515.7873474546068,-559.0942815164359
385024,-267.72273266094,-549.9043582799673
393216,-622.2375030293576,-562.6845462389277
401408,-513.1229760314125,-567.5194789949467
409600,-669.4184456694285,-590.2882510299657
417792,-623.5282845512759,-553.8917393051554
425984,-610.243691156752,-553.8536468054934
434176,-666.91458392551,-528.7559738080406
442368,-697.579272988696,-615.5854970193134
450560,-804.2657627392152,-571.1707427671644
458752,-614.0960345484702,-605.0532457271578
466944,-671.7685641343369,-546.2994827764443
475136,-632.589356423567,-584.2196474532714
483328,-646.8402329471021,-635.5294573735694
491520,-665.9470565410826,-568.0953797855947
499712,-642.1957755516521,-629.7980576993542
507904,-626.0156334060287,-597.0728890152416
516096,-747.8391213019424,-605.6689942820899
524288,-627.224465053021,-563.6985540649712
532480,-532.6774366493426,-590.8791301515482
540672,-704.1741327603502,-580.812100398658
548864,-582.5392479316248,-555.2487208833949
557056,-646.6443920162453,-607.9735941240801
565248,-586.2342179670968,-570.0324340879938
