timestep,real_det_return,real_sto_return
8192,56.25077493935792,15.744681728890422
16384,61.99908735536407,17.228627184457658
24576,23.27194032820406,11.491087611555745
32768,18.586546218428577,16.231410905691103
40960,14.126414603697047,14.316066293046271
49152,11.518988469013578,14.148824524016899
57344,14.083920681471875,11.238095510517496
65536,15.019885862361061,12.281622270085446
73728,19.91026922691476,18.198361485781355
81920,18.742745131828258,19.065146591824806
90112,19.683333456226727,19.660785345973945
98304,19.518398996088695,18.189241183186578
106496,18.259375323570907,17.888999743841325
114688,17.191113158243105,11.353411115406685
122880,17.06210569454453,12.041601736783228
