timestep,real_det_return,real_sto_return
8192,971.8625299137381,-117.81147947939857
16384,931.8525595410027,-111.08618760054841
24576,889.8824264191436,-99.98606277446314
32768,794.2130358121838,-157.92404239284267
40960,771.0913671316109,-195.38255057413136
49152,632.3446360128191,-140.69133041864484
57344,541.4333242573342,-110.0533914062261
65536,451.9102645671709,-128.63044870147667
73728,403.821734705916,-96.36041527784779
81920,317.4754903585404,-116.23177933911593
90112,187.9490113471153,-140.13375541732594
