timestep,real_det_return,real_sto_return
8192,75.52982024683513,32.20463544130456
16384,77.468222749942,28.68452454996094
24576,97.4103175106914,35.71637946292431
32768,35.66009756689278,20.750252207429376
40960,26.78227432208928,24.465966073989858
49152,20.188627648211707,39.66551138957628
57344,32.38644013899648,22.089497066582336
65536,50.293638615985785,46.243688784617376
73728,230.05001175224865,41.46045537258704
81920,147.3216120141901,70.57787253688052
90112,113.01543896579103,44.77517616685926
98304,104.20739339127397,51.05816203796424
106496,116.28421969709282,61.84844853352483
114688,119.45133606679182,56.842191784487454
122880,119.12121852058847,52.21343945150195
131072,151.15374155674144,81.27142827864077
139264,150.0511586220703,70.44217391321054
147456,153.11543648151934,68.61138855996785
155648,237.95306967713572,70.41339939036472
163840,1025.3470547522097,101.02056525875966
172032,1011.2656658085,75.17145689459282
180224,1005.5339795000879,147.23763105585095
188416,1005.693405377687,357.2048759080553
196608,1004.9541666665061,157.21540238542613
204800,1003.8310314585354,371.2477844483321
212992,1002.1680245690134,434.65475228925254
221184,1000.5941389484485,405.9757493348426
229376,998.9653553746597,570.5799136927537
237568,999.8947462606382,697.6172257343878
245760,1001.4183121225091,890.2521936739213
253952,1001.9779940730838,884.463073115296
262144,1002.5110733601434,1004.2864908817544
270336,1001.7597999928059,997.1987846788459
278528,1001.0831348712576,975.1742482799784
286720,1000.3081298246013,999.3635903100649
294912,1000.2831539604355,1000.4215042213566
303104,1000.1697721770175,998.1345955073812
311296,999.6257696730651,997.7431453144048
319488,999.6367758309868,997.7077245917098
327680,999.7872678454863,999.5914928014475
335872,1000.2972552859434,999.5751860845648
344064,1001.0076500127956,1000.5346561868917
352256,1001.4210129595409,1002.0964204800694
360448,1001.428036473342,1002.8601187370596
368640,1001.9885024619585,1002.5337779689249
376832,1002.1555735709468,1001.1059881696174
385024,1002.4669682659791,1002.2199665537715
393216,1002.6850349869164,1002.1520317584567
401408,1002.7188289847578,1001.7643000412378
409600,1002.7534592684149,1001.902639149137
417792,1002.670222803353,1001.9150841231079
425984,1003.1629209803039,1002.1345006822346
434176,1002.9697027391337,1002.3694859344614
442368,1003.2671642602697,1002.5673019441798
450560,1003.7250598497061,1003.4827419101059
458752,1003.8975556417748,1002.5795333998078
466944,1003.8582307766486,1003.3113444926876
475136,1004.3327085716377,1003.2730868514736
483328,1004.499795510657,1004.563174212112
491520,1004.6915673276824,1004.1739049833553
499712,1004.5690694030698,1004.776385116084
507904,1004.2648539238138,1003.1867461135992
516096,1004.3384033855658,1004.4518697008216
524288,1004.5151534440226,1003.5599753517115
532480,1004.7819979342179,1003.6074233233643
540672,1004.8281217052212,1004.687787636091
548864,1005.4266628687095,1004.556757728176
557056,1005.6229215601177,1003.8478802271368
565248,1005.9091750109732,1005.1200842574772
573440,1006.5343237286509,1005.339412770033
581632,1006.7695156261994,1005.9945506152051
589824,1007.0392338307441,1006.7181414254362
598016,1007.2127454801335,1006.3286787823339
606208,1007.0017030091797,1005.5903908603947
614400,1007.3832347476716,1006.3836299368479
622592,1007.2968443574333,1005.673611959184
630784,1007.3680721759289,1007.0959467787782
638976,1007.389258652471,1006.7659625554452
647168,1007.6595791381521,1007.2587796120708
655360,1007.8702506162632,1006.8844305322488
663552,1008.178650387869,1007.8335398327947
671744,1008.3974771032169,1007.4551020287884
679936,1008.6064622317601,1008.1125421234692
688128,1009.6353279235749,1009.4371536435831
696320,1009.6554291701962,1009.4566618834311
704512,1009.6974669611466,1009.5253793350188
712704,1009.7313536525651,1009.3381710859682
720896,1009.9454603399506,1009.3991067491195
729088,1010.1042443500279,1009.6217688403967
737280,1010.274088215323,1010.4746804099516
745472,1010.3117880433844,1010.4263651596618
753664,1010.7448320671698,1010.518966112324
761856,1010.7660866838756,1010.5967721805931
770048,1010.8912736324586,1010.4526342834657
778240,1011.1245952002752,1011.4210751327803
786432,1011.1355953887471,1010.7468002639322
794624,1011.3382871550784,1010.9293445597929
802816,1011.5279202703344,1011.1720589254567
811008,1011.7051154409398,1011.5069718432185
819200,1011.8124465368837,1012.1212750058714
827392,1011.7200723776629,1011.9738620644042
835584,1011.9435643833152,1011.8275775799742
843776,1012.013923608727,1012.1970076192426
851968,1012.2303641638522,1012.5070018153987
860160,1012.3639707184659,1012.0806723443554
868352,1012.522839511741,1012.4781771627413
876544,1012.6172639169284,1012.7083376226171
884736,1012.6532022734871,1012.6563393436111
892928,1012.7450604495076,1012.7964551619225
901120,1012.8504957496219,1012.7301760919411
909312,1012.8875123091677,1012.8570971339944
917504,1012.8919273939653,1012.8866955664134
925696,1012.8846542933455,1012.7605243284227
933888,1012.9530874996133,1012.8650081000611
942080,1012.9349292295026,1012.8240947933404
950272,1013.3140617787545,1013.5611123742754
958464,1013.4362855359146,1013.4740029699915
966656,1013.4996623218452,1013.7691786292733
