timestep,real_det_return,real_sto_return,alpha
1,996.7058489675298,-109.43666435279809,0.2
5001,133.68310411922104,-88.41963682329514,0.2
10001,127.90640561826135,-97.11281905069384,0.2
15001,40.383273986058676,-107.2701121804403,0.2
20001,103.42940024086415,-32.78197646186437,0.2
25001,185.17279699673549,33.943003857372716,0.2
30001,369.61734002801893,64.88462326218118,0.2
35001,230.98692195061398,80.57304906083013,0.2
40001,882.3107895569483,485.9921889669598,0.2
45001,898.7203265714867,848.4499497557806,0.2
50001,1002.1993750982207,1173.8470728095488,0.2
55001,1339.6737157515422,926.6839361075766,0.2
60001,1342.2516271865684,686.5313423171837,0.2
65001,2168.5685022150806,2065.93606356966,0.2
70001,2654.9172755988,2283.3067275763046,0.2
75001,2465.066189633403,1768.6473101392926,0.2
80001,2549.2546026669397,2566.9146194198483,0.2
85001,2131.3119634160676,1734.8153690745698,0.2
90001,2467.8455567218857,2153.996859316517,0.2
95001,2370.029754102191,2522.0742830550694,0.2
100001,3057.3796956455753,2910.948981483948,0.2
105001,3008.8665389077732,3165.433494854611,0.2
110001,3032.3747607647206,2349.1039400053573,0.2
115001,3512.4851224778477,3337.783775634177,0.2
120001,2723.0842637917085,2196.817128334177,0.2
125001,3110.5795984509245,2589.5614110189185,0.2
130001,2714.5662751651435,2648.5178786569827,0.2
135001,2489.7280742906405,2950.547086130181,0.2
140001,3221.266589436292,3000.9025317106657,0.2
145001,3079.860388328358,3087.7019853484194,0.2
150001,3266.7065108658167,3208.326370431047,0.2
155001,3686.229544962202,3398.6527926475646,0.2
160001,3991.1210469922057,3310.7702335188055,0.2
165001,2626.7870114768234,2716.7439370164857,0.2
170001,4240.967752609873,3466.1385846906837,0.2
175001,3771.148652483839,3778.5321487523333,0.2
180001,3862.5244866397347,3312.858284086963,0.2
185001,3433.3658948256793,2823.787272846711,0.2
190001,2808.072165057525,3517.383276023361,0.2
195001,3785.4791902605502,3248.034060993469,0.2
200001,3022.931563764908,3399.038228213479,0.2
205001,4379.634584278733,4014.350881357833,0.2
210001,3645.6736967810853,3086.8518008937654,0.2
215001,2453.9467612947524,2192.609386762153,0.2
220001,3191.231732102514,3075.0746585950756,0.2
225001,4285.919589243002,3882.6150296422175,0.2
230001,3230.814306118407,4311.093969144837,0.2
235001,3379.092279049143,3569.162488832956,0.2
240001,3524.0797669174426,2944.2965999712696,0.2
245001,3728.2305901126515,2977.8931259950987,0.2
250001,3814.103502902716,3509.09533331074,0.2
255001,2938.128509006776,2776.1224274387287,0.2
260001,3964.1543253305254,3350.022599323772,0.2
265001,-645.4660523812464,-49.48801109130576,0.2
270001,-742.1280589856971,-383.1554356393849,0.2
275001,-399.7667024796256,-573.6474659411194,0.2
280001,-553.0595047747516,-594.2986000523586,0.2
285001,3286.1339466227255,3375.396610577028,0.2
290001,3318.353726668135,3121.8229364745957,0.2
295001,4193.515642611555,3949.3750389042275,0.2
300001,3382.143778833907,3213.241558116764,0.2
305001,3866.113562595544,3716.5503971684184,0.2
310001,3569.9231422416087,2770.7166109916716,0.2
315001,-440.7592891459905,-485.0232231008159,0.2
320001,-466.60764836965734,-782.9047938622701,0.2
325001,-360.58782248921534,-489.45702165333915,0.2
330001,3648.4492507539317,3134.3849520850663,0.2
335001,3750.0187991816324,3858.1214029761477,0.2
340001,3980.0004808050303,3548.3414941834512,0.2
345001,2623.8596923803207,2899.2623869272684,0.2
350001,3765.5456463522555,3542.195031077283,0.2
355001,4259.764948083364,3665.906848247272,0.2
360001,4371.8682080409035,3065.950206549222,0.2
365001,3633.4763864047404,3900.2714345414597,0.2
370001,4065.2937340192266,4117.831456687341,0.2
375001,4049.791883065222,4116.150952093068,0.2
380001,3496.8794087970577,3723.0092449290555,0.2
385001,3714.616005317877,4185.990924140329,0.2
390001,3806.125815884073,3760.40299987548,0.2
395001,3898.3649735934487,4159.384500814926,0.2
400001,4407.818916578653,3348.9705638458436,0.2
405001,4698.873035791064,4334.207693407117,0.2
410001,3831.597360689637,3768.6018583285477,0.2
415001,3520.589794791318,2833.37985595012,0.2
420001,4000.90201035822,3937.8554928899275,0.2
425001,4318.850656958215,4244.60450721121,0.2
430001,4043.6794676023865,4022.651419894447,0.2
435001,4408.440090966892,3650.923092828656,0.2
440001,4123.940478659704,3609.8009386733393,0.2
445001,4323.769440976742,4368.91471947913,0.2
450001,3928.00751740841,3456.861578955016,0.2
455001,3157.6405508892517,2864.1788150433495,0.2
